title,price,rating,reviews,availability
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.4 out of 5 stars,76 ratings,Only 10 left in stock - order soon.
PlayStation®5 Digital Edition (slim),,4.7 out of 5 stars,"5,900 ratings",Only 2 left in stock - order soon.
"Wireless Controller Dual Vibration Game Joystick Controller for Ps4 Controller/Slim/Pro,Compatible with PS4 Console",,4.1 out of 5 stars,"1,871 ratings",In Stock
PlayStation 4 Slim 500GB Console [Discontinued],,4.6 out of 5 stars,"1,899 ratings",In Stock
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],,4.7 out of 5 stars,"2,817 ratings",Not Available
"OIVO PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Pro Vertical Stand with Dual Controller EXT Port Charger Dock Station and 12 Game Slots",,4.5 out of 5 stars,"45,558 ratings",In Stock
"Wireless Controller for PS4 with 2 Thumb Grips, 3.5mm Audio and Turbo Function, Purple Galaxy Custom Design V2 Gamepad Joystick for PS4, Compatible with PS4, Slim, Pro and Windows PC",,4.2 out of 5 stars,"2,341 ratings",In Stock
PlayStation 4 Slim 500GB Console - Uncharted 4 Bundle Discontinued,,4.8 out of 5 stars,"6,474 ratings",Not Available
PowerA USB Charging Cable for PlayStation 4,,4.6 out of 5 stars,"29,546 ratings",In Stock
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",,4.3 out of 5 stars,19 ratings,In Stock
"BOKESUYA 2 Pack Wireless Controller for PS4,Wireless Remote Controller with 1000mAh Battery,Double Shock/Audio/Six-axis Motion Sensor,Compatible with Playstation 4/Slim/Pro",,4.5 out of 5 stars,33 ratings,In Stock
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,706 ratings",Not Available
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,499 ratings",In Stock
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),,4.3 out of 5 stars,"1,430 ratings",Only 1 left in stock - order soon.
PlayStation 4 Console - 1TB Slim Edition (Renewed),,4.3 out of 5 stars,74 ratings,Not Available
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.3 out of 5 stars,"1,402 ratings",Only 11 left in stock - order soon.
"Crucial T500 1TB Gen4 NVMe M.2 Internal Gaming SSD with Heatsink, Up to 7300MB/s, Playstation 5 Compatible + 1mo Adobe CC All Apps- CT1000T500SSD5",,4.7 out of 5 stars,"2,506 ratings",In Stock
"Younik PS Portal Case, 4 in 1 PS Portal Accessories with Hard Shell Carrying Case, 2 Screen Protectors and Clear Protective Cover Case",,4.4 out of 5 stars,80 ratings,
